scene,method,split,views,selection,status,num_images,device,dtype,load_images_sec,infer_sec,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,depth_mean,depth_median,depth_conf_mean,world_points_conf_mean,output_dir,error,model_load_sec
tandt/train,VGGT,5views_quality,5,quality,success,5,cuda,torch.bfloat16,0.0593661000020802,0.4895665000003646,7518.685546875,0.014333213903913592,0.0133676361117461,0.019642005667133776,6.219639385430615,0.0023045088333398986,5.990964160976686,1.0405645370483398,0.6044036746025085,5.07721471786499,3.447627544403076,results\method_outputs\tandt\train\vggt_pose\5views_quality,,10.426694799996767
tandt/train,VGGT,5views_quality_diverse,5,quality_diverse,success,5,cuda,torch.bfloat16,0.06573500000013155,0.45513849999770173,7518.685546875,0.14229920591010073,0.13033601131514921,0.2318846330698577,12.431671275801916,0.01144650648759385,15.6433394821068,0.9058617949485779,0.19752545654773712,1.5474731922149658,1.4684656858444214,results\method_outputs\tandt\train\vggt_pose\5views_quality_diverse,,10.426694799996767
tandt/train,VGGT,8views_uniform,8,uniform,success,8,cuda,torch.bfloat16,0.16207800000120187,0.793757799998275,8033.37451171875,0.08505506926445712,0.06644991837317142,0.18623250475076347,9.505591346781115,0.008947898785198607,8.622443053415967,0.9134565591812134,0.31840622425079346,1.5736491680145264,2.036808729171753,results\method_outputs\tandt\train\vggt_pose\8views_uniform,,10.426694799996767
tandt/train,VGGT,8views_random,8,random,success,8,cuda,torch.bfloat16,0.1416910000007192,0.7819902999981423,8033.37451171875,0.0917239394980931,0.08631513021121531,0.1347708614138223,10.61045567881565,0.008644674863608818,9.476124767205189,0.9917915463447571,0.2584693729877472,1.667547345161438,1.8382309675216675,results\method_outputs\tandt\train\vggt_pose\8views_random,,10.426694799996767
tandt/train,VGGT,8views_quality,8,quality,success,8,cuda,torch.bfloat16,0.14192890000049374,0.7867079000025115,8033.37451171875,0.014326882024245853,0.013352088849058927,0.02052884971480585,5.351136917140784,0.002677352915107428,5.572125831202424,1.0002752542495728,0.567462146282196,4.743614673614502,2.904528856277466,results\method_outputs\tandt\train\vggt_pose\8views_quality,,10.426694799996767
tandt/train,VGGT,8views_quality_diverse,8,quality_diverse,success,8,cuda,torch.bfloat16,0.13629109999965294,0.7732358000030217,8033.37451171875,0.1285623099435861,0.11384462386077909,0.19871462635902656,11.649207915213973,0.011036141759963144,12.136576350232383,0.9127816557884216,0.2463144212961197,1.5648552179336548,1.5925403833389282,results\method_outputs\tandt\train\vggt_pose\8views_quality_diverse,,10.426694799996767
tandt/train,VGGT,12views_uniform,12,uniform,success,12,cuda,torch.bfloat16,0.2845536999993783,1.348062500001106,8151.453125,0.09948322234270145,0.07886869854894009,0.26388195090321065,11.285063322424904,0.008815477547654979,8.472915371462989,0.9453842639923096,0.29719406366348267,1.5712525844573975,1.782395362854004,results\method_outputs\tandt\train\vggt_pose\12views_uniform,,10.426694799996767
tandt/train,VGGT,12views_random,12,random,success,12,cuda,torch.bfloat16,0.20570239999869955,1.3400732000009157,8151.453125,0.07903260130815425,0.07393623736677592,0.11734960224017654,11.140416334436477,0.007094223315860664,7.8910542823676035,1.0642938613891602,0.3204464614391327,1.517958641052246,1.9059783220291138,results\method_outputs\tandt\train\vggt_pose\12views_random,,10.426694799996767
tandt/train,VGGT,12views_quality,12,quality,success,12,cuda,torch.bfloat16,0.19177559999661753,1.3572633000003407,8151.453125,0.015556982631840615,0.014586180809512801,0.023965651392700626,4.190626683898069,0.003712328442811733,5.30474952286628,0.9221251010894775,0.5238422751426697,5.264692783355713,3.3073654174804688,results\method_outputs\tandt\train\vggt_pose\12views_quality,,10.426694799996767
tandt/train,VGGT,12views_quality_diverse,12,quality_diverse,success,12,cuda,torch.bfloat16,0.1753476000012597,1.3180097000004025,8151.453125,0.11247968943619974,0.09332874691593783,0.24035324096846675,12.717873594577064,0.008844221370792786,9.514207391547503,0.9279786944389343,0.2820952534675598,1.6662874221801758,1.543641448020935,results\method_outputs\tandt\train\vggt_pose\12views_quality_diverse,,10.426694799996767
tandt/train,VGGT,20views_uniform,20,uniform,success,20,cuda,torch.bfloat16,0.4873718999988341,2.724130700000387,8385.970703125,0.07566321989733246,0.06461973639797355,0.13731552869850602,12.601586585653495,0.006004261398598223,7.48423666815509,0.9925799369812012,0.3273524045944214,1.7454837560653687,2.4667279720306396,results\method_outputs\tandt\train\vggt_pose\20views_uniform,,10.426694799996767
tandt/train,VGGT,20views_random,20,random,success,20,cuda,torch.bfloat16,0.3758430000016233,2.8805308000009973,8385.970703125,0.07613237928963872,0.06476770884069245,0.14630523663090675,10.936493555433563,0.006961315242746517,7.15393650676,1.111275553703308,0.3537711501121521,1.593327522277832,2.001811981201172,results\method_outputs\tandt\train\vggt_pose\20views_random,,10.426694799996767
tandt/train,VGGT,20views_quality,20,quality,success,20,cuda,torch.bfloat16,0.3738602000012179,2.7030952000022808,8385.970703125,0.04613243926329646,0.03811225596842865,0.12868261930619357,14.835266718925855,0.003109646771934591,6.868732925792165,0.932182788848877,0.40057480335235596,2.3803133964538574,1.9902584552764893,results\method_outputs\tandt\train\vggt_pose\20views_quality,,10.426694799996767
tandt/train,VGGT,20views_quality_diverse,20,quality_diverse,success,20,cuda,torch.bfloat16,0.37152489999789395,2.7934332999975595,8385.970703125,0.09673440452764329,0.07479483782204371,0.2638206527568896,14.154284533002178,0.006834284297598866,7.815523000805606,0.9706332683563232,0.3429814577102661,1.713200569152832,1.57915461063385,results\method_outputs\tandt\train\vggt_pose\20views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,2views_uniform,2,uniform,success,2,cuda,torch.bfloat16,0.026876100000663428,0.2801002000014705,7024.8994140625,1.827657762149474e-15,1.8038856040251476e-15,2.0977046352944823e-15,8.619019805043811,2.1204937492775417e-16,6.923933689940702,1.33473539352417,0.5974416136741638,2.175095796585083,2.772799015045166,results\method_outputs\tandt\truck\vggt_pose\2views_uniform,,10.426694799996767
tandt/truck,VGGT,2views_random,2,random,success,2,cuda,torch.bfloat16,0.02330170000277576,0.28547880000041914,7024.8994140625,1.0418975060695105e-15,9.251849459141242e-16,1.4043333874306805e-15,3.8244651671955188,2.7242959747847154e-16,3.5193145349021164,1.1245890855789185,0.623775839805603,2.5182723999023438,2.386108875274658,results\method_outputs\tandt\truck\vggt_pose\2views_random,,10.426694799996767
tandt/truck,VGGT,2views_quality,2,quality,success,2,cuda,torch.bfloat16,0.024842399998306064,0.26412490000075195,7024.8994140625,4.775249788392736e-16,4.771317552508392e-16,4.965068306494546e-16,0.24163052362803006,1.976260994138238e-15,5.076396053398672,1.6430823802947998,0.6898229718208313,1.8595383167266846,2.0667190551757812,results\method_outputs\tandt\truck\vggt_pose\2views_quality,,10.426694799996767
tandt/truck,VGGT,2views_quality_diverse,2,quality_diverse,success,2,cuda,torch.bfloat16,0.026905899998382665,0.28752349999922444,7024.8994140625,2.036586047343041e-15,2.029601180867565e-15,2.198129442157285e-15,6.8032245251018235,2.9935599506214437e-16,5.810806293421279,1.719154715538025,0.62896329164505,1.6640915870666504,1.9997175931930542,results\method_outputs\tandt\truck\vggt_pose\2views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,3views_uniform,3,uniform,success,3,cuda,torch.bfloat16,0.038277600000583334,0.3200247999993735,7197.830078125,0.011807639195307886,0.010494492532557414,0.014505334932294342,11.566735847957201,0.0010208272541637779,6.553431475209186,1.4012197256088257,0.637261688709259,2.5236527919769287,3.4802944660186768,results\method_outputs\tandt\truck\vggt_pose\3views_uniform,,10.426694799996767
tandt/truck,VGGT,3views_random,3,random,success,3,cuda,torch.bfloat16,0.03890799999862793,0.30832489999738755,7197.830078125,0.04972229494839988,0.047386182973457626,0.06830360916061708,7.875696613718452,0.006313383740784279,5.489902604270259,1.024688959121704,0.49445629119873047,3.5976040363311768,3.7450923919677734,results\method_outputs\tandt\truck\vggt_pose\3views_random,,10.426694799996767
tandt/truck,VGGT,3views_quality,3,quality,success,3,cuda,torch.bfloat16,0.043933900000411086,0.31461209999906714,7197.830078125,0.0011023836140882407,0.0010462840838173415,0.001536185812754813,0.4527937618848949,0.002434626328550168,4.38558025881606,1.7878752946853638,0.777052640914917,1.956959843635559,2.1677184104919434,results\method_outputs\tandt\truck\vggt_pose\3views_quality,,10.426694799996767
tandt/truck,VGGT,3views_quality_diverse,3,quality_diverse,success,3,cuda,torch.bfloat16,0.04486259999976028,0.36910980000175186,7197.830078125,0.06273318929255223,0.06238080204558594,0.07174554597040746,7.527903214070339,0.008333421340393719,5.992010019985881,1.7759008407592773,0.6498404741287231,1.9386732578277588,2.3925557136535645,results\method_outputs\tandt\truck\vggt_pose\3views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.07298799999989569,0.4607140000007348,7518.685546875,0.039188965737005345,0.034535707580974746,0.05735163716355944,11.343843183422566,0.003454646287271894,6.069013626318557,1.3214188814163208,0.6356707215309143,3.425285816192627,4.335303783416748,results\method_outputs\tandt\truck\vggt_pose\5views_uniform,,10.426694799996767
tandt/truck,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.07933870000124443,0.5049295000026177,7518.685546875,0.031161021787082188,0.030152358174349365,0.0384219249615426,8.177639659852705,0.0038105153911420276,5.357834604662551,0.9501619935035706,0.46600213646888733,4.850343227386475,4.828486442565918,results\method_outputs\tandt\truck\vggt_pose\5views_random,,10.426694799996767
tandt/truck,VGGT,5views_quality,5,quality,success,5,cuda,torch.bfloat16,0.06903600000077859,0.49774739999702433,7518.685546875,0.0026936020522862723,0.0020839812651957472,0.00437164261903283,2.844025344651851,0.0009471090183326082,4.9705758447781845,1.8539501428604126,0.7815281748771667,2.2069594860076904,2.7151780128479004,results\method_outputs\tandt\truck\vggt_pose\5views_quality,,10.426694799996767
tandt/truck,VGGT,5views_quality_diverse,5,quality_diverse,success,5,cuda,torch.bfloat16,0.07361460000174702,0.4861801999977615,7518.685546875,0.0519194114551416,0.04843279712206158,0.07577123831081928,10.290523655418035,0.005045361460085236,7.174559167979501,1.3352882862091064,0.5240134596824646,2.7863929271698,3.26080322265625,results\method_outputs\tandt\truck\vggt_pose\5views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,8views_uniform,8,uniform,success,8,cuda,torch.bfloat16,0.19518080000125337,0.801941199999419,8033.37451171875,0.0401942974511351,0.037075440819198426,0.05981868813528292,9.37324975010287,0.004288192304989416,5.757866684337628,1.250731348991394,0.5311876535415649,4.244369983673096,4.449127197265625,results\method_outputs\tandt\truck\vggt_pose\8views_uniform,,10.426694799996767
tandt/truck,VGGT,8views_random,8,random,success,8,cuda,torch.bfloat16,0.1555727000013576,0.8022800000035204,8033.37451171875,0.033022887093125175,0.030074341229425886,0.0614258728433073,10.438251986449291,0.003163641492463945,5.407539252244393,0.9699856042861938,0.47670063376426697,6.492727756500244,5.789247989654541,results\method_outputs\tandt\truck\vggt_pose\8views_random,,10.426694799996767
tandt/truck,VGGT,8views_quality,8,quality,success,8,cuda,torch.bfloat16,0.1566696999980195,0.8056226999979117,8033.37451171875,0.008974107282426995,0.007615123186164544,0.017791110438466158,2.586988880290739,0.003468939256290286,4.9572659286985745,1.8126658201217651,0.7608383297920227,2.525554656982422,3.003796100616455,results\method_outputs\tandt\truck\vggt_pose\8views_quality,,10.426694799996767
tandt/truck,VGGT,8views_quality_diverse,8,quality_diverse,success,8,cuda,torch.bfloat16,0.13624329999947804,0.8655808000003162,8033.37451171875,0.05077344768784516,0.047104448019095024,0.07939078031166688,9.16164845145557,0.005541955463241821,6.814731553698755,1.2823234796524048,0.4933905303478241,3.6682794094085693,3.9047939777374268,results\method_outputs\tandt\truck\vggt_pose\8views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,12views_uniform,12,uniform,success,12,cuda,torch.bfloat16,0.5313919000000169,1.430143900000985,8151.453125,0.039727597829247493,0.03199520110232624,0.09632684586242647,10.445285483880536,0.003803399906164007,5.910158972771198,1.147409200668335,0.5119311213493347,6.479913711547852,5.968563556671143,results\method_outputs\tandt\truck\vggt_pose\12views_uniform,,10.426694799996767
tandt/truck,VGGT,12views_random,12,random,success,12,cuda,torch.bfloat16,0.24038939999809372,1.4614494999987073,8151.453125,0.03845929624199018,0.0343277337432902,0.06851668288506062,10.048518132847686,0.0038273599881628578,5.278223772790164,0.9954575896263123,0.48418015241622925,7.007359504699707,6.084122180938721,results\method_outputs\tandt\truck\vggt_pose\12views_random,,10.426694799996767
tandt/truck,VGGT,12views_quality,12,quality,success,12,cuda,torch.bfloat16,0.21208390000174404,1.5006969000023673,8151.453125,0.016499784683777153,0.01524869692187407,0.02718660417069874,9.571472402912068,0.001723850207075474,5.071950217567222,1.770825982093811,0.7380953431129456,2.7349860668182373,3.2430813312530518,results\method_outputs\tandt\truck\vggt_pose\12views_quality,,10.426694799996767
tandt/truck,VGGT,12views_quality_diverse,12,quality_diverse,success,12,cuda,torch.bfloat16,0.26643220000187284,1.4408822000004875,8151.453125,0.031807966271986975,0.028706767686146103,0.06314526014346192,10.461084269025035,0.0030405993732570756,6.553684877259938,1.3717409372329712,0.5303534865379333,4.377002239227295,4.512507915496826,results\method_outputs\tandt\truck\vggt_pose\12views_quality_diverse,,10.426694799996767
tandt/truck,VGGT,20views_uniform,20,uniform,success,20,cuda,torch.bfloat16,0.542670700000599,3.1881018999993103,8385.970703125,0.031536197320773174,0.027123685237796756,0.0600740190658838,10.586169852279077,0.002978999747862897,5.846921170567977,1.1872388124465942,0.5040196180343628,6.548834323883057,5.701674938201904,results\method_outputs\tandt\truck\vggt_pose\20views_uniform,,10.426694799996767
tandt/truck,VGGT,20views_random,20,random,success,20,cuda,torch.bfloat16,0.5874254000009387,3.1584470000016154,8385.970703125,0.0355139408755148,0.02996201192668511,0.08069770237133751,10.713182386151123,0.0033149758489525475,5.289586407356377,1.1256464719772339,0.5183520317077637,7.494471073150635,6.287044525146484,results\method_outputs\tandt\truck\vggt_pose\20views_random,,10.426694799996767
tandt/truck,VGGT,20views_quality,20,quality,success,20,cuda,torch.bfloat16,0.4784225000003062,3.225198799998907,8385.970703125,0.017694778355762903,0.01621038487237155,0.03252065439070042,10.229081402484539,0.0017298501849310752,5.1754118156406985,1.7768512964248657,0.7228235602378845,3.0600202083587646,3.386308431625366,results\method_outputs\tandt\truck\vggt_pose\20views_quality,,10.426694799996767
tandt/truck,VGGT,20views_quality_diverse,20,quality_diverse,success,20,cuda,torch.bfloat16,0.4458709999998973,3.19112739999764,8385.970703125,0.026762510169472547,0.020921122754923152,0.06852592919055821,11.87670198688947,0.0022533621033023576,6.664540049587136,1.4428462982177734,0.5633009076118469,4.455522060394287,4.268991470336914,results\method_outputs\tandt\truck\vggt_pose\20views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,2views_uniform,2,uniform,success,2,cuda,torch.bfloat16,0.06687890000102925,0.3900866000003589,7076.0400390625,5.438959822042074e-16,5.360630966617863e-16,6.280369834735101e-16,2.9257829054797937,1.858975869964675e-16,8.707595664589832,0.934745192527771,0.892379105091095,3.3431336879730225,2.5527329444885254,results\method_outputs\db\drjohnson\vggt_pose\2views_uniform,,10.426694799996767
db/drjohnson,VGGT,2views_random,2,random,success,2,cuda,torch.bfloat16,0.1387390999989293,0.39053140000032727,7076.0400390625,1.4833011725431819e-15,1.4830552096023157e-15,1.5100665727558131e-15,7.5900168688100385,1.9542791513923652e-16,6.576387465815718,0.536994457244873,0.4807334542274475,2.9930970668792725,2.0662050247192383,results\method_outputs\db\drjohnson\vggt_pose\2views_random,,10.426694799996767
