scene,method,condition,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,num_test_images,eval_psnr,eval_ssim,eval_lpips,metrics_summary,per_view_csv
db/drjohnson,3dgs_degraded,lowres_50,5views_random,success,0,datasets\degraded_scenes\lowres_50\db\drjohnson\5views_random,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_random,3000,4,115.80089360000056,5,5413,3000,0.0027819874230772257,47.468719482421875,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_random\point_cloud\iteration_3000\point_cloud.ply,44955003,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_random\train_console.log,20,14.840695994644477,0.3302427615970373,0.6611899062991142,,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_random\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,lowres_50,5views_quality,success,0,datasets\degraded_scenes\lowres_50\db\drjohnson\5views_quality,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality,3000,4,112.58819649999896,5,2834,3000,0.003364644246175885,45.45543670654297,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality\point_cloud\iteration_3000\point_cloud.ply,55175083,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality\train_console.log,20,10.49115869986794,0.11091865765629336,0.7235285103321075,,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,lowres_50,5views_quality_diverse,success,0,datasets\degraded_scenes\lowres_50\db\drjohnson\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality_diverse,3000,4,130.4660100000001,5,6175,3000,0.0033269794657826424,42.4705810546875,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,54294931,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality_diverse\train_console.log,20,14.569676677821132,0.34949454925954343,0.676877361536026,,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,under_0.6,5views_uniform,success,0,datasets\degraded_scenes\under_0.6\db\drjohnson\5views_uniform,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_uniform,3000,4,78.06273809999948,5,7260,3000,0.002550471341237426,48.8314208984375,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,46329171,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_uniform\train_console.log,20,11.684683570403553,0.24665239155292512,0.69877490401268,,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_uniform\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,under_0.6,5views_random,success,0,datasets\degraded_scenes\under_0.6\db\drjohnson\5views_random,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_random,3000,4,68.9215295999984,5,5413,3000,0.0023528116289526224,49.22365951538086,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_random\point_cloud\iteration_3000\point_cloud.ply,32342715,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_random\train_console.log,20,13.024435235860505,0.3213570000603795,0.6632865324616433,,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_random\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,under_0.6,5views_quality,success,0,datasets\degraded_scenes\under_0.6\db\drjohnson\5views_quality,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality,3000,4,66.18526349999956,5,2834,3000,0.0026414780877530575,48.3648681640625,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality\point_cloud\iteration_3000\point_cloud.ply,38006787,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality\train_console.log,20,10.174001909935534,0.12635176626499742,0.7349809378385543,,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,under_0.6,5views_quality_diverse,success,0,datasets\degraded_scenes\under_0.6\db\drjohnson\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality_diverse,3000,4,76.03141400000095,5,6175,3000,0.0027882116846740246,47.694679260253906,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,39242323,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality_diverse\train_console.log,20,12.446796030414697,0.29732472114264963,0.6681747913360596,,results\method_outputs\db\drjohnson\3dgs_degraded\under_0.6\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
db/playroom,3dgs_degraded,jpeg_q20,5views_uniform,success,0,datasets\degraded_scenes\jpeg_q20\db\playroom\5views_uniform,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_uniform,3000,4,59.05522390000078,5,4284,3000,0.0032879235222935677,45.59001922607422,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,54436787,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_uniform\train_console.log,20,12.369586526939354,0.5040068611502647,0.6546440809965134,,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_uniform\test\ours_3000\metrics_per_view.csv
db/playroom,3dgs_degraded,jpeg_q20,5views_random,success,0,datasets\degraded_scenes\jpeg_q20\db\playroom\5views_random,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_random,3000,4,68.89462880000065,5,5669,3000,0.003080726368352771,46.3100700378418,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_random\point_cloud\iteration_3000\point_cloud.ply,49800923,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_random\train_console.log,20,14.230100577874168,0.5191891804337502,0.5532046601176261,,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_random\test\ours_3000\metrics_per_view.csv
db/playroom,3dgs_degraded,jpeg_q20,5views_quality,success,0,datasets\degraded_scenes\jpeg_q20\db\playroom\5views_quality,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_quality,3000,4,63.43070970000008,5,7662,3000,0.0055607943795621395,40.085205078125,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_quality\point_cloud\iteration_3000\point_cloud.ply,29678451,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_quality\train_console.log,20,10.70183147419622,0.3693234073696658,0.615821149945259,,results\method_outputs\db\playroom\3dgs_degraded\jpeg_q20\5views_quality\test\ours_3000\metrics_per_view.csv
