scene,views,seed,split,status,selected_images,excluded_test_images,psnr,ssim,lpips,num_test_images,metrics_summary,todo
db/drjohnson,8,4,8views_random_seed4,evaluated,"[""IMG_6313.jpg"", ""IMG_6363.jpg"", ""IMG_6382.jpg"", ""IMG_6417.jpg"", ""IMG_6468.jpg"", ""IMG_6537.jpg"", ""IMG_6549.jpg"", ""IMG_6584.jpg""]",20,14.648368533222364,0.31852343715727327,0.6653805181384087,20,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4,
db/drjohnson,12,4,12views_random_seed4,evaluated,"[""IMG_6329.jpg"", ""IMG_6349.jpg"", ""IMG_6360.jpg"", ""IMG_6374.jpg"", ""IMG_6378.jpg"", ""IMG_6405.jpg"", ""IMG_6459.jpg"", ""IMG_6464.jpg"", ""IMG_6542.jpg"", ""IMG_6556.jpg"", ""IMG_6589.jpg"", ""IMG_6596.jpg""]",20,17.365592861858655,0.46497327387332915,0.5413650557398796,20,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4,
db/drjohnson,20,4,20views_random_seed4,evaluated,"[""IMG_6300.jpg"", ""IMG_6322.jpg"", ""IMG_6347.jpg"", ""IMG_6355.jpg"", ""IMG_6373.jpg"", ""IMG_6377.jpg"", ""IMG_6382.jpg"", ""IMG_6388.jpg"", ""IMG_6409.jpg"", ""IMG_6496.jpg"", ""IMG_6502.jpg"", ""IMG_6528.jpg"", ""IMG_6549.jpg"", ""IMG_6551.jpg"", ""IMG_6557.jpg"", ""IMG_6561.jpg"", ""IMG_6562.jpg"", ""IMG_6564.jpg"", ""IMG_6569.jpg"", ""IMG_6572.jpg""]",20,18.34673371481772,0.49896056950092316,0.5227253288030624,20,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4,
db/playroom,2,0,2views_random_seed0,evaluated,"[""DSC05682.jpg"", ""DSC05793.jpg""]",20,9.273614895756614,0.2998382646590471,0.7030586749315262,20,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0,
db/playroom,3,0,3views_random_seed0,evaluated,"[""DSC05583.jpg"", ""DSC05644.jpg"", ""DSC05693.jpg""]",20,10.326962011809506,0.36127238273620604,0.6945437163114547,20,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0,
db/playroom,5,0,5views_random_seed0,evaluated,"[""DSC05658.jpg"", ""DSC05687.jpg"", ""DSC05712.jpg"", ""DSC05718.jpg"", ""DSC05800.jpg""]",20,12.959945300788775,0.4803550489246845,0.60893844217062,20,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0,
db/playroom,8,0,8views_random_seed0,evaluated,"[""DSC05610.jpg"", ""DSC05633.jpg"", ""DSC05651.jpg"", ""DSC05674.jpg"", ""DSC05709.jpg"", ""DSC05717.jpg"", ""DSC05743.jpg"", ""DSC05791.jpg""]",20,11.102307225656187,0.40373491644859316,0.6497427761554718,20,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0,
db/playroom,12,0,12views_random_seed0,evaluated,"[""DSC05592.jpg"", ""DSC05598.jpg"", ""DSC05599.jpg"", ""DSC05613.jpg"", ""DSC05642.jpg"", ""DSC05660.jpg"", ""DSC05726.jpg"", ""DSC05749.jpg"", ""DSC05753.jpg"", ""DSC05777.jpg"", ""DSC05783.jpg"", ""DSC05805.jpg""]",20,17.444405525645735,0.5943301349878312,0.4828267604112625,20,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed0,
db/playroom,20,0,20views_random_seed0,evaluated,"[""DSC05576.jpg"", ""DSC05589.jpg"", ""DSC05597.jpg"", ""DSC05599.jpg"", ""DSC05629.jpg"", ""DSC05644.jpg"", ""DSC05661.jpg"", ""DSC05666.jpg"", ""DSC05673.jpg"", ""DSC05697.jpg"", ""DSC05699.jpg"", ""DSC05707.jpg"", ""DSC05709.jpg"", ""DSC05723.jpg"", ""DSC05731.jpg"", ""DSC05732.jpg"", ""DSC05736.jpg"", ""DSC05751.jpg"", ""DSC05758.jpg"", ""DSC05771.jpg""]",20,21.14211029335252,0.7152988687157631,0.37695535719394685,20,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed0,
db/playroom,2,1,2views_random_seed1,evaluated,"[""DSC05609.jpg"", ""DSC05738.jpg""]",20,8.893605484282313,0.32198712658137085,0.6703950703144074,20,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1,
db/playroom,3,1,3views_random_seed1,evaluated,"[""DSC05590.jpg"", ""DSC05643.jpg"", ""DSC05794.jpg""]",20,11.2510298803462,0.3918991587124765,0.6202578589320182,20,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1,
db/playroom,5,1,5views_random_seed1,evaluated,"[""DSC05605.jpg"", ""DSC05702.jpg"", ""DSC05707.jpg"", ""DSC05714.jpg"", ""DSC05793.jpg""]",20,14.47538828879515,0.5469278424978257,0.5867751702666283,20,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1,
db/playroom,8,1,8views_random_seed1,evaluated,"[""DSC05580.jpg"", ""DSC05598.jpg"", ""DSC05630.jpg"", ""DSC05681.jpg"", ""DSC05683.jpg"", ""DSC05712.jpg"", ""DSC05761.jpg"", ""DSC05801.jpg""]",20,15.773299254117934,0.5735791474580765,0.5017477884888649,20,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1,
db/playroom,12,1,12views_random_seed1,evaluated,"[""DSC05572.jpg"", ""DSC05600.jpg"", ""DSC05636.jpg"", ""DSC05647.jpg"", ""DSC05696.jpg"", ""DSC05701.jpg"", ""DSC05745.jpg"", ""DSC05750.jpg"", ""DSC05775.jpg"", ""DSC05781.jpg"", ""DSC05794.jpg"", ""DSC05795.jpg""]",20,16.55656515189336,0.5870579972863197,0.47336922585964203,20,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed1,
db/playroom,20,1,20views_random_seed1,evaluated,"[""DSC05575.jpg"", ""DSC05578.jpg"", ""DSC05579.jpg"", ""DSC05580.jpg"", ""DSC05633.jpg"", ""DSC05634.jpg"", ""DSC05637.jpg"", ""DSC05662.jpg"", ""DSC05670.jpg"", ""DSC05681.jpg"", ""DSC05694.jpg"", ""DSC05698.jpg"", ""DSC05714.jpg"", ""DSC05725.jpg"", ""DSC05728.jpg"", ""DSC05732.jpg"", ""DSC05761.jpg"", ""DSC05771.jpg"", ""DSC05782.jpg"", ""DSC05794.jpg""]",20,21.060739532819788,0.714617183804512,0.3811008483171463,20,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed1,
db/playroom,2,2,2views_random_seed2,evaluated,"[""DSC05588.jpg"", ""DSC05597.jpg""]",20,11.216472468304996,0.4390285873785615,0.6126858100295067,20,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2,
db/playroom,3,2,3views_random_seed2,evaluated,"[""DSC05595.jpg"", ""DSC05619.jpg"", ""DSC05675.jpg""]",20,5.539789294565578,0.1029201883051428,0.7531107932329177,20,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2,
db/playroom,5,2,5views_random_seed2,evaluated,"[""DSC05642.jpg"", ""DSC05659.jpg"", ""DSC05750.jpg"", ""DSC05767.jpg"", ""DSC05785.jpg""]",20,14.44786434457067,0.5483380630612373,0.5637570321559906,20,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2,
