scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/drjohnson,5views_quality_image_diverse,5,quality_image_diverse,3000,4,success,114.87618949999887,40.175880432128906,0.005444346461445093,6538,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse\run_report.json
db/drjohnson,5views_random,5,random,3000,4,success,52.45500949999996,46.95610809326172,0.002835771767422557,5413,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random\run_report.json
db/drjohnson,5views_random_seed0,5,random_seed0,3000,4,success,62.85878269999375,44.083892822265625,0.0035309840459376574,7819,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0\run_report.json
db/drjohnson,5views_random_seed1,5,random_seed1,3000,4,success,64.56243739999627,47.44523620605469,0.002698028227314353,5974,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1\run_report.json
db/drjohnson,5views_random_seed2,5,random_seed2,3000,4,success,56.18918719999783,41.75416564941406,0.0045298426412045956,7672,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2\run_report.json
db/drjohnson,5views_random_seed3,5,random_seed3,3000,4,success,53.071070900005,46.826072692871094,0.002768681151792407,8763,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3\run_report.json
db/drjohnson,5views_random_seed4,5,random_seed4,3000,4,success,55.12827929999912,46.67214584350586,0.002953469753265381,8196,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4\run_report.json
db/drjohnson,5views_uniform,5,uniform,3000,4,success,58.490659499999765,47.250732421875,0.0028011838439852,7260,results\method_outputs\db\drjohnson\3dgs_sparse\5views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\5views_uniform\run_report.json
db/drjohnson,8views_quality,8,quality,3000,4,success,65.5048756999995,36.160118103027344,0.009865506459027529,7870,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality\run_report.json
db/drjohnson,8views_quality_diverse,8,quality_diverse,3000,4,success,71.67540279999957,37.25257606506348,0.011587773542851211,8648,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_diverse\run_report.json
db/drjohnson,8views_quality_image_diverse,8,quality_image_diverse,3000,4,success,115.5966647000023,37.98311576843262,0.008759382693096996,9333,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\8views_quality_image_diverse\run_report.json
db/drjohnson,8views_random,8,random,3000,4,success,64.95817539999916,41.73020782470704,0.005686394684016705,9684,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random\run_report.json
db/drjohnson,8views_random_seed0,8,random_seed0,3000,4,success,68.52482910000253,41.10644226074219,0.005403856607154012,11578,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed0\run_report.json
