scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path
db/drjohnson,3dgs_sparse,12views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\12views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed1,3000,4,78.21591159999662,12,12598,3000,0.005592786520719529,41.11990585327149,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,192718115,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed1\train_console.log
db/drjohnson,3dgs_sparse,20views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\20views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed1,3000,4,107.5089386000036,20,27418,3000,0.0074300113134086136,38.4537094116211,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,271748028,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed1\train_console.log
db/drjohnson,3dgs_sparse,2views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\2views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed2,3000,4,36.28974279999966,2,2461,3000,0.0017776242457330227,51.70931167602539,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,18002858,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,3views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\3views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2,3000,4,49.736557500000345,3,5027,3000,0.0019029092742130162,51.19701080322266,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,50977435,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,5views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\5views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2,3000,4,56.18918719999783,5,7672,3000,0.0045298426412045956,41.75416564941406,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,95981003,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,8views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\8views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed2,3000,4,68.63851750000322,8,13061,3000,0.00650471979752183,41.09959259033204,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,120859867,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,12views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\12views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed2,3000,4,75.12156260000484,12,13879,3000,0.00471891132183373,41.52615661621094,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,116630971,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,20views_random_seed2,success,0,datasets\sparse_scenes\db\drjohnson\20views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2,3000,4,84.31816479999543,20,26986,3000,0.009547158423811198,36.45921249389649,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,196039827,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2\train_console.log
db/drjohnson,3dgs_sparse,2views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\2views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3,3000,4,38.089002799999435,2,836,3000,0.0019044166896492244,51.14058303833008,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,17225874,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,3views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\3views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3,3000,4,40.8250893000004,3,2116,3000,0.0021934852469712497,50.03294296264649,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,35101467,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,5views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\5views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3,3000,4,53.071070900005,5,8763,3000,0.002768681151792407,46.826072692871094,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,67878883,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,8views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\8views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3,3000,4,53.260618400003295,8,10910,3000,0.004791121417656541,41.701978302001955,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,75142307,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,12views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\12views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3,3000,4,70.12209759999678,12,9832,3000,0.005209398455917835,40.85415954589844,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,168407667,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,20views_random_seed3,success,0,datasets\sparse_scenes\db\drjohnson\20views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3,3000,4,78.76434330000484,20,22603,3000,0.008126642927527428,37.25084533691406,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3\point_cloud\iteration_3000\point_cloud.ply,145775931,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3\train_console.log
db/drjohnson,3dgs_sparse,2views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\2views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4,3000,4,49.94064580000122,2,2339,3000,0.0016947654075920582,51.656001281738284,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,22517946,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4\train_console.log
db/drjohnson,3dgs_sparse,3views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\3views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4,3000,4,41.660552300003474,3,1502,3000,0.001966193481348455,51.098897552490236,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,28548563,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4\train_console.log
db/drjohnson,3dgs_sparse,5views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\5views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4,3000,4,55.12827929999912,5,8196,3000,0.002953469753265381,46.67214584350586,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,87346883,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4\train_console.log
db/drjohnson,3dgs_sparse,8views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\8views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4,3000,4,64.5995516000039,8,9432,3000,0.00506179565563798,42.17207565307618,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,90290891,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4\train_console.log
db/drjohnson,3dgs_sparse,12views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\12views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4,3000,4,70.25823500000115,12,15619,3000,0.004745499929413199,42.38478012084961,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,152535171,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4\train_console.log
db/drjohnson,3dgs_sparse,20views_random_seed4,success,0,datasets\sparse_scenes\db\drjohnson\20views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4,3000,4,87.7019253000035,20,22196,3000,0.0058473265729844575,39.705186462402345,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4\point_cloud\iteration_3000\point_cloud.ply,189570003,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4\train_console.log
db/playroom,3dgs_sparse,2views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\2views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0,3000,4,43.60467320000316,2,1942,3000,0.002083976333960891,50.324946594238284,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,13046826,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0\train_console.log
db/playroom,3dgs_sparse,3views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\3views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0,3000,4,35.56457159999991,3,2965,3000,0.002298193424940109,49.027033233642584,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,36351635,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed0\train_console.log
db/playroom,3dgs_sparse,5views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\5views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0,3000,4,39.14989280000009,5,2136,3000,0.002603749744594097,48.8018798828125,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,39100715,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed0\train_console.log
db/playroom,3dgs_sparse,8views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\8views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0,3000,4,54.48282750000362,8,6253,3000,0.0038976931013166905,43.85151977539063,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,89971715,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed0\train_console.log
db/playroom,3dgs_sparse,12views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\12views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed0,3000,4,56.11569790000067,12,10667,3000,0.004108251724392176,43.64534606933594,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,95187651,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed0\train_console.log
db/playroom,3dgs_sparse,20views_random_seed0,success,0,datasets\sparse_scenes\db\playroom\20views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed0,3000,4,65.64916010000161,20,14707,3000,0.005425931746140123,41.044857025146484,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,121209299,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed0\train_console.log
db/playroom,3dgs_sparse,2views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\2views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1,3000,4,39.01286750000145,2,1778,3000,0.0023111103102564814,49.17407989501953,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,11739370,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1\train_console.log
db/playroom,3dgs_sparse,3views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\3views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1,3000,4,37.08702169999742,3,1363,3000,0.0021266548894345763,49.02267532348633,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,21911090,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed1\train_console.log
db/playroom,3dgs_sparse,5views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\5views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1,3000,4,49.42718230000173,5,3355,3000,0.0025542830117046833,48.559844970703125,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,34641179,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed1\train_console.log
db/playroom,3dgs_sparse,8views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\8views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1,3000,4,57.37820169999759,8,7464,3000,0.004966555489227176,43.83761215209961,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,70573899,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed1\train_console.log
db/playroom,3dgs_sparse,12views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\12views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed1,3000,4,57.15796180000325,12,9094,3000,0.00399730633944273,43.79195022583008,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,95561139,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed1\train_console.log
db/playroom,3dgs_sparse,20views_random_seed1,success,0,datasets\sparse_scenes\db\playroom\20views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed1,3000,4,75.00279440000304,20,14461,3000,0.005806549498811365,39.590248107910156,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,107901371,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed1\train_console.log
db/playroom,3dgs_sparse,2views_random_seed2,success,0,datasets\sparse_scenes\db\playroom\2views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2,3000,4,37.376985399998375,2,2980,3000,0.002206686930730939,49.196319580078125,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,16279754,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2\train_console.log
db/playroom,3dgs_sparse,3views_random_seed2,success,0,datasets\sparse_scenes\db\playroom\3views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2,3000,4,33.32047469999816,3,2756,3000,0.0026842569932341576,47.55466690063477,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,18523906,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed2\train_console.log
db/playroom,3dgs_sparse,5views_random_seed2,success,0,datasets\sparse_scenes\db\playroom\5views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2,3000,4,43.21001149999938,5,5502,3000,0.0022936933673918247,49.09666061401367,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,38309595,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed2\train_console.log
db/playroom,3dgs_sparse,8views_random_seed2,success,0,datasets\sparse_scenes\db\playroom\8views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2,3000,4,39.906157299999904,8,8346,3000,0.0034291185904294255,45.36713485717774,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2\point_cloud\iteration_3000\point_cloud.ply,59205827,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2\train_console.log
