condition,views,selection,scenes,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,clean_psnr_mean,clean_ssim_mean,clean_lpips_mean,psnr_drop_from_clean,ssim_drop_from_clean,lpips_increase_from_clean
jpeg_q40,5,random,4,13.589507980637327,1.2244500838514492,0.3929827564861625,0.1071902534084985,0.5473764114081859,0.0970593919782612,13.697953825942562,0.3987493811990134,0.5392694963142276,0.1084458453052352,0.0057666247128508,0.0081069150939583
jpeg_q40,5,uniform,4,13.244307396277437,1.1645343464680868,0.3879570210119709,0.1085137058277396,0.5647756636142731,0.11757539320665,13.373411282921484,0.3917849658988416,0.5610867199953645,0.1291038866440477,0.0038279448868706,0.0036889436189085
lowres_50,5,quality,4,10.886672134313976,0.2887388773951749,0.273823947875644,0.1499363627484461,0.6178770031780004,0.0738867977706044,11.006584535952436,0.268423711338255,0.6212188698351383,0.1199124016384605,-0.0054002365373889,-0.0033418666571378
lowres_50,5,quality_diverse,4,14.01811082718998,0.6823167699067354,0.4032871418632566,0.0990089726887337,0.5551174331456423,0.090989627706293,14.12370169037845,0.4142707789316773,0.5394933879375458,0.1055908631884712,0.0109836370684206,0.0156240452080965
lowres_50,5,random,4,14.026300094836117,1.425122177340366,0.4113172249868512,0.1148033837765526,0.5384724514558912,0.0961652221553406,13.697953825942562,0.3987493811990134,0.5392694963142276,-0.3283462688935543,-0.0125678437878378,-0.0007970448583364
lowres_50,5,uniform,4,13.217106607175715,1.442382336404841,0.3891877929680049,0.1038314123005701,0.5665691709611564,0.1210422700143279,13.373411282921484,0.3917849658988416,0.5610867199953645,0.1563046757457673,0.0025971729308366,0.0054824509657919
over_1.4,5,quality,4,9.669351686611355,0.5708171573571498,0.2489519814131199,0.0989362552097738,0.6479778904467821,0.0655714393957608,11.006584535952436,0.268423711338255,0.6212188698351383,1.3372328493410794,0.0194717299251351,0.0267590206116438
over_1.4,5,quality_diverse,4,11.450335865871423,0.706529982052126,0.3765744965523481,0.099790738244732,0.5897739239037038,0.0900372209510755,14.12370169037845,0.4142707789316773,0.5394933879375458,2.673365824507025,0.0376962823793292,0.050280535966158
over_1.4,5,random,4,11.022498729336824,1.427754999615991,0.3736679906374774,0.1233591327797535,0.5724526029080153,0.0853635198536728,13.697953825942562,0.3987493811990134,0.5392694963142276,2.675455096605738,0.0250813905615359,0.0331831065937876
over_1.4,5,uniform,4,10.8939418315295,0.439769240538011,0.3564806872513145,0.0988436962473057,0.5945489197969437,0.1122079466045363,13.373411282921484,0.3917849658988416,0.5610867199953645,2.4794694513919837,0.0353042786475271,0.0334621998015791
under_0.4,5,quality,4,7.91708645771025,1.441052585115729,0.1823298045110277,0.0646602799867429,0.6584471266716718,0.0516682555711172,11.006584535952436,0.268423711338255,0.6212188698351383,3.089498078242186,0.0860939068272273,0.0372282568365335
under_0.4,5,quality_diverse,4,8.78085449488745,1.6190921622851138,0.2621433320920914,0.0633442472391555,0.6050908498466014,0.068187033762904,14.12370169037845,0.4142707789316773,0.5394933879375458,5.342847195491,0.1521274468395859,0.0655974619090556
under_0.4,5,random,4,8.903187301310734,1.6742033987205096,0.2763766799354925,0.0709800095288292,0.5932010104879737,0.0736711318037124,13.697953825942562,0.3987493811990134,0.5392694963142276,4.794766524631829,0.1223727012635208,0.053931514173746
under_0.4,5,uniform,4,8.71631902735113,1.7480786596705593,0.2534640518948435,0.0175953776739246,0.6205128636211157,0.1105156856611299,13.373411282921484,0.3917849658988416,0.5610867199953645,4.657092255570353,0.138320914003998,0.0594261436257511
under_0.6,5,quality,4,8.934351968575765,1.064531352341141,0.2227532508259173,0.0915939943219239,0.6451473230496049,0.0626873762425771,11.006584535952436,0.268423711338255,0.6212188698351383,2.0722325673766715,0.0456704605123377,0.0239284532144665
under_0.6,5,quality_diverse,4,10.753253699190347,1.145592274109916,0.3446644326671957,0.0962346316458555,0.574557326361537,0.0699785182898437,14.12370169037845,0.4142707789316773,0.5394933879375458,3.3704479911881027,0.0696063462644815,0.0350639384239912
under_0.6,5,random,4,10.803885814108847,1.4872883089466018,0.3604691166896373,0.084228934456105,0.5720114184543491,0.0857360082956837,13.697953825942562,0.3987493811990134,0.5392694963142276,2.894068011833713,0.038280264509376,0.0327419221401215
